timestamp,avg_rtt_us,p95_rtt_us,min_rtt_us,max_rtt_us,avg_cwnd,throughput_bps,retrans_count,rolling_avg_rtt,rolling_p95_rtt,rolling_std_rtt,target_next_avg_rtt
1765795039,7630,16343,2525,16367,10,11817,0,7630,16343,0,12082
1765795041,12082,21582,2525,21582,10,7434,0,9856,18962,3148,12796
1765795042,12796,25924,2525,27367,10,4593,0,10836,21283,2799,9760
1765795043,9760,24023,4815,29470,10,32467,0,10567,21968,2348,11011
1765795044,11011,15611,5595,17766,10,10200,0,10655,20696,2043,12285
1765795045,12285,20355,6882,20355,10,10375,0,10927,20639,1944,10258
1765795046,10258,21379,5670,21435,9,4214,0,10831,20745,1793,11199
1765795047,11199,29148,3846,29148,9,14880,0,10877,21795,1665,10518
1765795048,10518,24526,4309,24526,10,33768,0,10837,22099,1562,13785
1765795049,13785,21655,7503,21655,10,5673,0,11132,22054,1743,8759
1765795050,8759,13786,6194,21655,10,1273,0,11245,21798,1512,10826
1765795051,10826,29287,4748,29287,10,7278,0,11119,22569,1487,7317
1765795052,7317,20510,3320,20510,10,5006,0,10571,22028,1781,8860
1765795053,8860,28399,2223,34028,10,26989,0,10481,22465,1848,10412
1765795054,10412,16131,1913,16131,10,1320,0,10421,22517,1838,8160
1765795055,8160,13399,1151,33083,10,41032,0,10009,21822,1837,16247
1765795056,16247,48357,4880,49621,10,10534,0,10608,24519,2700,15187
1765795057,15187,51967,5159,51967,10,13494,0,11007,26801,3066,12098
