timestamp,avg_rtt_us,p95_rtt_us,min_rtt_us,max_rtt_us,avg_cwnd,throughput_bps,retrans_count,rolling_avg_rtt,rolling_p95_rtt,rolling_std_rtt,target_next_avg_rtt
1765795084,3979,4473,3430,4528,10,5160,0,3979,4473,0,10757
1765795085,10757,11631,9011,11631,10,7260,0,7368,8052,4792,0
1765795085,0,0,0,0,0,0,0,4912,5368,5438,6566
1765795085,6566,10182,3430,10182,10,18420,0,5325,6571,4517,4027
1765795085,4027,8922,2605,8922,10,122480,0,5065,7041,3954,7454
1765795085,7454,7813,6738,7813,10,7260,0,5463,7170,3669,9337
1765795085,9337,12211,6143,12531,10,80640,0,6017,7890,3655,8188
1765795085,8188,10988,2605,10988,10,16740,0,6288,8277,3470,8167
1765795085,8167,10980,2605,10988,10,10660,0,6497,8577,3305,9791
1765795085,9791,15175,2605,15175,10,32440,0,6826,9237,3286,9580
1765795085,9580,15923,2605,15923,10,19620,0,7386,10382,3223,22818
1765795085,22818,51255,5557,57841,10,10880,0,8592,14344,5828,11346
1765795085,11346,35818,2605,59436,10,81060,0,9727,17926,5018,11331
1765795085,11331,59719,1900,61328,10,80300,0,10203,22880,4909,8995
1765795086,8995,13578,1855,13578,10,18500,0,10700,23346,4444,9485
1765795086,9485,17619,1817,17619,10,136160,0,10903,24326,4324,16676
1765795086,16676,40753,6567,61328,10,349740,0,11637,27180,4640,11999
1765795086,11999,18939,1817,19296,10,7280,0,12018,27975,4478,13335
1765795086,13335,16919,5777,16919,10,8540,0,12535,28569,4278,12639
1765795086,12639,12639,12639,12639,10,1500,0,12820,28316,4169,14139
1765795086,14139,19345,1817,20623,10,40760,0,13276,28658,4022,10085
1765795086,10085,19797,1817,19797,10,16940,0,12003,25512,2322,10402
1765795086,10402,17369,1817,17369,10,10400,0,11908,23667,2370,8189
1765795086,8189,15211,1817,15211,10,7220,0,11594,19216,2647,10588
1765795086,10588,13329,6791,13329,10,16560,0,11753,19192,2518,4947
1765795086,4947,6606,3103,6791,10,5160,0,11299,18090,3269,11715
1765795086,11715,15402,7280,15402,10,7900,0,10803,15555,2687,9138
1765795087,9138,13485,6587,13485,10,16940,0,10517,15010,2698,36883
1765795087,36883,73933,6002,73933,10,128000,0,12872,20711,8802,6791
1765795087,6791,6791,6791,6791,10,4520,0,12287,20126,9011,8048
1765795087,8048,10356,5528,10356,10,8160,0,11678,19227,9077,6840
1765795087,6840,9087,4634,9087,10,21160,0,11354,18156,9198,4816
1765795087,4816,7083,2840,7966,10,125800,0,10795,17128,9429,5995
1765795087,5995,11848,3432,11848,10,32400,0,10576,16792,9521,7038
1765795087,7038,10396,3595,10396,10,9760,0,10221,16498,9587,6587
1765795087,6587,9119,3558,9119,10,10080,0,10385,16750,9500,6452
1765795087,6452,10872,3171,12106,10,16560,0,9858,16297,9564,21942
1765795087,21942,60833,2942,73168,10,8540,0,11139,21031,10286,7193
1765795088,7193,10076,2882,10076,10,12420,0,8170,14646,4910,6443
1765795088,6443,8834,2762,8834,10,12420,0,8135,14850,4922,5781
1765795088,5781,7741,2646,7741,10,12420,0,7908,14588,4979,5202
1765795088,5202,6787,2540,6787,10,12420,0,7744,14358,5044,4699
1765795088,4699,5955,2446,5955,10,12420,0,7733,14246,5052,4146
1765795088,4146,5222,2369,5222,10,14920,0,7548,13583,5155,3721
1765795088,3721,4599,2274,4599,10,20720,0,7216,13003,5296,3175
1765795088,3175,3589,2210,3595,10,7200,0,6875,12450,5449,5213
1765795088,5213,8703,2122,8703,10,8840,0,6751,12233,5474,4724
1765795089,4724,7669,2089,7669,10,12420,0,5029,6917,1222,4385
1765795089,4385,6720,1899,6720,10,24600,0,4748,6581,965,3595
1765795089,3595,3595,3595,3595,10,4520,0,4464,6058,819,6307
1765795089,6307,10646,1908,10646,10,7900,0,4516,6348,923,5120
1765795089,5120,9344,1803,9344,10,29380,0,4508,6604,916,5536
1765795089,5536,7333,1598,7333,10,13060,0,4592,6742,972,6509
1765795089,6509,12102,1417,12102,10,16940,0,4828,7430,1127,6354
1765795089,6354,10599,1265,10599,10,10400,0,5091,8030,1147,4375
1765795089,4375,9294,1032,9294,10,9400,0,5211,8600,973,6202
1765795089,6202,8145,3372,8145,10,17200,0,5310,8544,1023,0
1765795089,0,0,0,0,0,0,0,4838,7777,1973,6862
1765795089,6862,12260,3372,12260,10,16940,0,5086,8331,2063,7628
1765795090,7628,10747,3785,10747,10,7900,0,5489,9047,2132,5621
1765795090,5621,9421,3372,9421,10,16940,0,5420,8924,2114,6000
1765795090,6000,8270,3408,8270,10,7900,0,5508,8817,2118,4942
1765795090,4942,7254,3256,7254,10,12420,0,5449,8809,2126,4468
1765795090,4468,6363,3101,6363,10,12420,0,5245,8235,2111,3875
1765795090,3875,5584,2476,5584,10,18440,0,4997,7733,2112,5969
1765795090,5969,9664,2816,10194,10,4780,0,5156,7770,2119,5546
1765795090,5546,9815,2184,10194,10,14460,0,5091,7937,2094,3372
1765795090,3372,3372,3372,3372,10,4520,0,5428,8275,1306,6853
1765795090,6853,13734,1931,13734,10,8840,0,5427,8422,1305,7704
1765795090,7704,11602,3372,12036,10,5160,0,5435,8507,1319,5718
1765795091,5718,10563,1704,10563,10,12420,0,5444,8622,1321,5616
1765795091,5616,9293,1522,9293,10,7900,0,5406,8724,1309,4450
1765795091,4450,8152,1360,8152,10,16940,0,5357,8814,1337,4450
1765795091,4450,7153,1233,7153,10,7900,0,5355,8893,1338,3865
1765795091,3865,6310,1121,6310,10,12420,0,5354,8965,1340,3510
1765795091,3510,5557,1022,5557,10,14920,0,5108,8555,1436,3085
1765795091,3085,4891,835,4891,10,20080,0,4862,8062,1559,4833
1765795091,4833,8641,1902,9227,10,6560,0,5008,8589,1469,7508
1765795091,7508,13698,749,13698,10,7900,0,5073,8586,1572,16868
1765795092,16868,56414,698,71217,10,35680,0,5990,13067,4028,4600
1765795092,4600,10521,619,10521,10,13440,0,5878,13063,4052,27684
1765795092,27684,64941,3372,71217,10,32360,0,8085,18627,7989,26855
1765795092,26855,70604,619,71217,10,9180,0,10325,24873,9794,8463
1765795092,8463,8463,8463,8463,10,4520,0,10727,25004,9607,6640
1765795092,6640,8395,2037,8463,10,12420,0,11004,25212,9425,5478
1765795092,5478,7117,2015,7117,10,7900,0,11201,25368,9270,6079
1765795092,6079,8463,2052,8463,10,16940,0,11500,25725,9024,5118
