timestamp,avg_rtt_us,p95_rtt_us,min_rtt_us,max_rtt_us,avg_cwnd,throughput_bps,retrans_count,rolling_avg_rtt,rolling_p95_rtt,rolling_std_rtt,target_next_avg_rtt
1766461868,135776,355639,2136,393900,192,2980,0,135776,355639,0,273052
1766461868,273052,394464,2109,394464,386,561760,0,204414,375051,97068,130040
1766461868,130040,394339,2175,394464,159,45260,0,179622,381480,80962,91545
1766461868,91545,393821,15,394214,131,51380,0,157603,384565,79431,32026
1766461868,32026,390013,20,391208,51,224540,0,132487,385655,88803,59227
1766461868,59227,276689,1888,389679,88,7420,0,120277,367494,84872,102796
1766461868,102796,389126,1888,389207,119,10760,0,117780,370584,77758,128021
1766461868,128021,389751,1881,389876,162,60640,0,119060,372980,72081,160906
1766461868,160906,390536,1881,390861,222,572340,0,123709,374930,68853,114672
1766461868,114672,390095,1669,390320,166,78400,0,122806,376447,64978,159723
1766461868,159723,390729,1669,390729,229,23020,0,125200,379956,65944,261222
1766461869,261222,389359,2307,389580,375,19660,0,124017,379445,63039,76219
1766461869,76219,387027,2258,387200,109,11880,0,118635,378714,64742,127297
1766461869,127297,389055,2037,389055,181,20260,0,122210,378238,64063,90986
1766461869,90986,388559,2037,388812,127,16900,0,128106,378092,57185,144256
1766461869,144256,388054,1987,388264,205,145140,0,136609,389229,51881,134112
1766461869,134112,387639,1967,387639,192,492100,0,139741,389080,50541,127524
1766461869,127524,387296,1934,387296,183,82800,0,139691,388834,50554,125706
1766461869,125706,387422,1802,387628,181,19180,0,136171,388523,50136,149417
1766461869,149417,388032,1784,388032,215,10200,0,139646,388317,49683,110036
1766461869,110036,388055,1784,388168,159,12560,0,134677,388049,49936,134097
1766461869,134097,387765,1717,388087,192,26260,0,121965,387890,23125,12149
1766461869,12149,11966,34,386227,23,263580,0,115558,350384,39957,207405
1766461869,207405,389957,1530,390294,297,570840,0,123568,350474,49470,126716
1766461869,126716,389065,1631,389065,183,82000,0,127141,350525,48127,144139
1766461869,144139,387502,1623,387641,205,19580,0,127130,350469,48123,117715
1766461869,117715,389664,1611,389664,166,8100,0,125490,350672,48138,112112
1766461869,112112,394035,1653,394035,156,65980,0,123949,351346,48312,170389
1766461869,170389,391979,1680,392870,240,35180,0,128417,351802,50509,250158
1766461870,250158,390381,1633,390413,358,24460,0,138491,352036,63530,118589
1766461870,118589,388029,1629,388029,140,678500,0,139346,352034,63161,119629
1766461870,119629,388340,1485,388340,171,80300,0,137900,352091,63460,149747
1766461870,149747,388221,1483,388221,192,44160,0,151659,389717,45556,122529
1766461870,122529,387961,1500,387961,174,11200,0,143172,389517,41765,147108
1766461870,147108,387747,1523,387747,203,76520,0,145211,389385,41368,117070
1766461870,117070,386637,1669,386836,166,28000,0,142504,389299,42321,137537
1766461870,137537,386100,1673,386100,185,20280,0,144486,388943,41487,206212
1766461870,206212,387139,1662,387340,286,570280,0,153896,388253,43928,125149
1766461870,125149,388275,1775,388588,172,88440,0,149372,387883,44368,114142
1766461870,114142,387125,1695,387311,162,23320,0,135771,387557,27789,78025
1766461870,78025,386676,34,386676,112,21240,0,131714,387422,33040,48961
1766461870,48961,387084,35,390066,75,301300,0,124648,387296,42200,147668
1766461870,147668,391212,1738,391254,209,25740,0,124440,387595,42068,128925
1766461870,128925,389378,1415,389392,184,25580,0,125079,387737,42084,111507
1766461870,111507,388925,1415,389114,159,11060,0,121519,387855,41515,199084
1766461870,199084,391298,1292,391962,284,632620,0,129721,388321,48115,127777
1766461870,127777,389814,1444,390397,183,84060,0,128745,388692,48038,126647
1766461871,126647,389207,1727,389368,181,17400,0,120788,388899,39636,256580
1766461871,256580,387903,1716,388937,369,24460,0,133931,388862,58530,144632
1766461871,144632,388348,1678,388578,205,16300,0,136980,388984,58177,135815
1766461871,135815,387267,1675,387923,192,27520,0,142759,389043,54419,95671
1766461871,95671,386794,1513,386918,136,14220,0,147430,389014,46968,205850
1766461871,205850,391486,1513,391887,293,606320,0,153248,389042,50474,117400
1766461871,117400,390288,1610,390508,166,110680,0,152096,389133,51217,108864
1766461871,108864,388516,1614,388697,156,21300,0,151832,389092,51456,121096
1766461871,121096,388611,1693,388611,174,26360,0,144033,388823,49366,122136
1766461871,122136,387998,1600,388207,174,9500,0,143469,388641,49604,139873
1766461871,139873,387545,1661,387784,198,38760,0,144791,388475,49281,102998
1766461871,102998,386391,1717,387608,147,19480,0,129433,388324,31179,128948
1766461871,128948,387120,35,387216,188,597560,0,127865,388201,30721,82947
1766461871,82947,386807,36,387329,122,395140,0,122578,388155,33614,127476
1766461871,127476,386572,1740,386814,184,29920,0,125758,388133,32262,118350
1766461871,118350,387419,1581,387666,171,17900,0,117008,387726,15785,115455
1766461871,115455,387112,1581,387194,166,7620,0,116814,387409,15792,149364
1766461871,149364,386630,1619,386630,215,66580,0,120864,387220,18489,115240
1766461872,115240,385848,1682,385848,166,34080,0,120278,386944,18574,215545
1766461872,215545,385761,1708,385797,311,16040,0,129619,386720,35441,242896
