user_id,request_id,mode,max_tokens_requested,tokens_generated,tokens_effective,tokens_wasted,ttft,total_time,generation_tps,effective_tps,health_factor,network_rtt,network_capacity
1,user1_6454f2c5,baseline,80,78,33,45,0.023937463760375977,1.392674446105957,56.00734630989677,23.69541574649479,0.0005762496360858455,318,23.9
2,user2_8d3444f2,baseline,80,78,78,0,0.024855375289916992,1.395519495010376,55.893164000134625,55.893164000134625,0.9636505432181443,29,77.0
1,user1_ade459a8,network_aware,35,35,13,22,0.025548458099365234,0.6162905693054199,56.79139312393855,21.09394601746289,0.2768457756187372,342,22.6
2,user2_7cb44c8c,network_aware,124,123,88,35,0.023833274841308594,1.3772704601287842,89.30707770244246,63.89449461638159,0.9699117636016454,55,64.2
1,user1_4033e71a,baseline,80,79,34,45,0.026540040969848633,1.3965113162994385,56.56953801802269,24.346383450794576,0.9981878339275335,308,24.5
2,user2_75609ec8,baseline,80,79,79,0,0.025553226470947266,1.3935887813568115,56.68817161622443,56.68817161622443,0.9670298604867069,60,62.1
1,user1_91d492ac,network_aware,81,80,16,64,0.026082754135131836,0.7474985122680664,107.02362437787778,21.404724875575553,0.9990317127937984,346,22.4
2,user2_1be7ef3e,network_aware,78,78,55,23,0.01732611656188965,0.7149300575256348,109.10158158681587,76.9306024009599,0.9731984815309517,29,77.4
1,user1_afde6758,baseline,80,79,15,64,0.017622947692871094,0.7305641174316406,108.1356148146601,20.532078762277234,0.9994121118236333,359,21.8
2,user2_81d31006,baseline,80,79,57,22,0.028093338012695312,0.7390763759613037,106.89017071780448,77.12328773309943,0.97159434848689,28,77.8
1,user1_8fabaa01,network_aware,18,18,7,11,0.026884794235229492,0.3209042549133301,56.091496838711116,21.813359881720988,0.12762659823759367,323,23.6
2,user2_025e2552,network_aware,141,140,103,37,0.02541375160217285,1.390519380569458,100.68180419223351,74.07304165571465,0.9688152601087475,33,74.7
1,user1_0c6c7ade,baseline,80,78,31,47,0.024126529693603516,1.392699956893921,56.0063203950692,22.258922208296735,6.97362695622821e-06,345,22.5
2,user2_ee262151,baseline,80,80,80,0,0.02483201026916504,1.3955247402191162,57.32610658513938,57.32610658513938,0.9613432328344356,29,77.1
1,user1_88cde917,network_aware,10,10,4,6,0.02417922019958496,0.1777632236480713,56.25460539463219,22.501842157852877,3.750239815144938e-05,338,22.8
2,user2_b035d293,network_aware,160,160,114,46,0.024666547775268555,1.477417230606079,108.29709894094263,77.16168299542163,0.94677475616256,29,77.2
1,user1_423409dd,baseline,80,79,16,63,0.01728677749633789,0.7292799949645996,108.32602093224124,21.939447277415947,0.002020717956448088,355,22.0
2,user2_a1ca942c,baseline,80,80,56,24,0.025651216506958008,0.7372117042541504,108.51699659453638,75.96189761617546,0.9659957188498959,31,76.2
1,user1_bb7c9d28,network_aware,10,10,2,8,0.018007278442382812,0.10218644142150879,97.86034096980642,19.572068193961282,0.00011352480700215337,325,23.5
2,user2_e315557c,network_aware,160,160,109,51,0.017529726028442383,1.408531904220581,113.59345111074136,77.38553856919255,0.972707318922515,28,77.6
